reference_code,url,price,currency,life_span,material_label,size_label,collection,price_eur
CRWJLI0006,https://www.cartier.com/en-fr/cartier-libre-watch_cod44733502651442622.html#dept=EU_Watches,72000.0,EUR,Q4 June 2022,Other,Medium,Other,72000.0
BAIGNOIRE-ALLONGEE-WATCH_COD25372685655516896.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod25372685655516896.html#dept=EU_Watches,153000.0,EUR,Q4 May 2022,Other,Medium,Other,153000.0
BAIGNOIRE-ALLONGEE-WATCH_COD25372685655516897.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod25372685655516897.html#dept=EU_Watches,166000.0,EUR,Q4 May 2022,Other,Medium,Other,166000.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438015.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438015.html#dept=EU_Watches,42300.0,EUR,Q4 May 2022,Other,Medium,Other,42300.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438017.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438017.html#dept=EU_Watches,47800.0,EUR,Q4 May 2022,Other,Medium,Other,47800.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438018.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438018.html#dept=EU_Watches,51500.0,EUR,Q4 May 2022,Other,Medium,Other,51500.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438019.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438019.html#dept=EU_Watches,59000.0,EUR,Q4 May 2022,Other,Medium,Other,59000.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438020.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438020.html#dept=EU_Watches,69500.0,EUR,Q4 May 2022,Other,Medium,Other,69500.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438022.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438022.html#dept=EU_Watches,44600.0,EUR,Q4 May 2022,Other,Medium,Other,44600.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651438023.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651438023.html#dept=EU_Watches,55500.0,EUR,Q4 May 2022,Other,Medium,Other,55500.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651450845.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651450845.html#dept=EU_Watches,25500.0,EUR,Q4 May 2022,Other,Medium,Other,25500.0
BAIGNOIRE-ALLONGEE-WATCH_COD44733502651450846.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-allongee-watch_cod44733502651450846.html#dept=EU_Watches,33800.0,EUR,Q4 May 2022,Other,Medium,Other,33800.0
BAIGNOIRE-WATCH-SMALL-MODEL_COD44733502651450774.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch-small-model_cod44733502651450774.html#dept=EU_Watches,27000.0,EUR,Q4 May 2022,Other,Small,Other,27000.0
BAIGNOIRE-WATCH-SMALL-MODEL_COD44733502651450775.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch-small-model_cod44733502651450775.html#dept=EU_Watches,10600.0,EUR,Q4 May 2022,Other,Small,Other,10600.0
BAIGNOIRE-WATCH-SMALL-MODEL_COD44733502651450784.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch-small-model_cod44733502651450784.html#dept=EU_Watches,24500.0,EUR,Q4 May 2022,Other,Small,Other,24500.0
BAIGNOIRE-WATCH-SMALL-MODEL_COD44733502651450786.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch-small-model_cod44733502651450786.html#dept=EU_Watches,40000.0,EUR,Q4 May 2022,Other,Small,Other,40000.0
BAIGNOIRE-WATCH-SMALL-MODEL_COD44733502651450787.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch-small-model_cod44733502651450787.html#dept=EU_Watches,26300.0,EUR,Q4 May 2022,Other,Small,Other,26300.0
BAIGNOIRE-WATCH-SMALL-MODEL_COD44733502651450790.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch-small-model_cod44733502651450790.html#dept=EU_Watches,111000.0,EUR,Q4 May 2022,Other,Small,Other,111000.0
BAIGNOIRE-WATCH_COD44733502651438021.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch_cod44733502651438021.html#dept=EU_Watches,27600.0,EUR,Q4 May 2022,Other,Medium,Other,27600.0
BAIGNOIRE-WATCH_COD44733502651450844.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/baignoire-watch_cod44733502651450844.html#dept=EU_Watches,11300.0,EUR,Q4 May 2022,Other,Medium,Other,11300.0
BALLON-BLANC-DE-CARTIER-WATCH_COD13452677149800959.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-blanc-de-cartier-watch_cod13452677149800959.html#dept=EU_Watches,7100.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,7100.0
BALLON-BLANC-DE-CARTIER-WATCH_COD13452677149800961.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-blanc-de-cartier-watch_cod13452677149800961.html#dept=EU_Watches,8400.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,8400.0
BALLON-BLANC-DE-CARTIER-WATCH_COD44733502651438041.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-blanc-de-cartier-watch_cod44733502651438041.html#dept=EU_Watches,16800.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,16800.0
BALLON-BLANC-DE-CARTIER-WATCH_COD44733502651442605.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-blanc-de-cartier-watch_cod44733502651442605.html#dept=EU_Watches,13500.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,13500.0
BALLON-BLANC-DE-CARTIER-WATCH_COD44733502651447024.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-blanc-de-cartier-watch_cod44733502651447024.html#dept=EU_Watches,9200.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,9200.0
BALLON-BLANC-DE-CARTIER-WATCH_COD44733502651447025.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-blanc-de-cartier-watch_cod44733502651447025.html#dept=EU_Watches,10700.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,10700.0
BALLON-BLEU-DE-CARTIER-PANTHER-SPOTS-WATCH_COD44733502651459431.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-panther-spots-watch_cod44733502651459431.html#dept=EU_Watches,71000.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,71000.0
BALLON-BLEU-DE-CARTIER-WATCH_COD11452292647333473.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod11452292647333473.html#dept=EU_Watches,32000.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,32000.0
BALLON-BLEU-DE-CARTIER-WATCH_COD11452292647333476.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod11452292647333476.html#dept=EU_Watches,43800.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,43800.0
BALLON-BLEU-DE-CARTIER-WATCH_COD11452292647341056.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod11452292647341056.html#dept=EU_Watches,28400.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,28400.0
BALLON-BLEU-DE-CARTIER-WATCH_COD11452292647341344.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod11452292647341344.html#dept=EU_Watches,6250.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,6250.0
BALLON-BLEU-DE-CARTIER-WATCH_COD11452292647341347.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod11452292647341347.html#dept=EU_Watches,6800.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,6800.0
BALLON-BLEU-DE-CARTIER-WATCH_COD13452677149801335.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod13452677149801335.html#dept=EU_Watches,15800.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,15800.0
BALLON-BLEU-DE-CARTIER-WATCH_COD2009602992451.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod2009602992451.html#dept=EU_Watches,9250.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,9250.0
BALLON-BLEU-DE-CARTIER-WATCH_COD2009602992542.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod2009602992542.html#dept=EU_Watches,25000.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,25000.0
BALLON-BLEU-DE-CARTIER-WATCH_COD2009602992543.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod2009602992543.html#dept=EU_Watches,30900.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,30900.0
BALLON-BLEU-DE-CARTIER-WATCH_COD2009602992545.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod2009602992545.html#dept=EU_Watches,25000.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,25000.0
BALLON-BLEU-DE-CARTIER-WATCH_COD2009602992594.HTML#DEPT=EU_WATCHES,https://www.cartier.com/en-fr/ballon-bleu-de-cartier-watch_cod2009602992594.html#dept=EU_Watches,31500.0,EUR,Q4 May 2022,Other,Medium,Ballon Bleu,31500.0
