year,reference_code,local_reference,objectID,title,collection,collection_canonical,currency,price,price_eur,market,url,url_full
2026,CRWSPN0013,WSPN0013,CRWSPN0013,Montre Panthère De Cartier,Panthère de Cartier,Panthère,EUR,5000.0,5000.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWSPN0013,https://www.cartier.com/fr-fr/product/CRWSPN0013
2026,CRWSTA0136,WSTA0136,CRWSTA0136,Montre Tank Must de Cartier,Tank,Tank,EUR,3750.0,3750.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWSTA0136,https://www.cartier.com/fr-fr/product/CRWSTA0136
2026,CRWSSA0029,WSSA0029,CRWSSA0029,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,8100.0,8100.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWSSA0029,https://www.cartier.com/fr-fr/product/CRWSSA0029
2026,CRWGTA0352,WGTA0352,CRWGTA0352,Montre Tank Louis Cartier,Tank,Tank,EUR,8600.0,8600.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGTA0352,https://www.cartier.com/fr-fr/product/CRWGTA0352
2026,CRWGTA0357,WGTA0357,CRWGTA0357,Montre Tank Louis Cartier,Tank,Tank,EUR,16100.0,16100.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGTA0357,https://www.cartier.com/fr-fr/product/CRWGTA0357
2026,CRW2SA0033,W2SA0033,CRW2SA0033,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,10800.0,10800.0,fr-fr,https://www.cartier.com/fr-fr/product/CRW2SA0033,https://www.cartier.com/fr-fr/product/CRW2SA0033
2026,CRWGBA0041,WGBA0041,CRWGBA0041,Montre Baignoire,Baignoire,Other,EUR,8850.0,8850.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGBA0041,https://www.cartier.com/fr-fr/product/CRWGBA0041
2026,CRW2PN0018,W2PN0018,CRW2PN0018,Montre Panthère de Cartier,Panthère de Cartier,Panthère,EUR,9550.0,9550.0,fr-fr,https://www.cartier.com/fr-fr/product/CRW2PN0018,https://www.cartier.com/fr-fr/product/CRW2PN0018
2026,CRWSSA0096,WSSA0096,CRWSSA0096,Montre Santos de Cartier,Santos de Cartier,Santos,EUR,8900.0,8900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWSSA0096,https://www.cartier.com/fr-fr/product/CRWSSA0096
2026,CRWSTA0107,WSTA0107,CRWSTA0107,Montre Tank Must de Cartier,Tank,Tank,EUR,3900.0,3900.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWSTA0107,https://www.cartier.com/fr-fr/product/CRWSTA0107
2026,CRWGTA0211,WGTA0211,CRWGTA0211,Montre Tank Louis Cartier,Tank,Tank,EUR,14800.0,14800.0,fr-fr,https://www.cartier.com/fr-fr/product/CRWGTA0211,https://www.cartier.com/fr-fr/product/CRWGTA0211
