year,reference_code,collection_canonical,price,price_eur,currency,market,title,url
2026,CRWSPN0013,Panthère,5000.0,5000.0,EUR,fr-fr,Montre Panthère De Cartier,https://www.cartier.com/fr-fr/product/CRWSPN0013
2026,CRWSTA0136,Tank,3750.0,3750.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0136
2026,CRWSSA0029,Santos,8100.0,8100.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0029
2026,CRWGTA0352,Tank,8600.0,8600.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0352
2026,CRWGTA0357,Tank,16100.0,16100.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0357
2026,CRW2SA0033,Santos,10800.0,10800.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRW2SA0033
2026,CRWGBA0041,Other,8850.0,8850.0,EUR,fr-fr,Montre Baignoire,https://www.cartier.com/fr-fr/product/CRWGBA0041
2026,CRW2PN0018,Panthère,9550.0,9550.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRW2PN0018
2026,CRWSSA0096,Santos,8900.0,8900.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0096
2026,CRWSTA0107,Tank,3900.0,3900.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0107
2026,CRWGTA0211,Tank,14800.0,14800.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0211
2026,CRWSPN0012,Panthère,4200.0,4200.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWSPN0012
2026,CRWGTA0346,Tank,16100.0,16100.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0346
2026,CRWSSA0082,Santos,6550.0,6550.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0082
2026,CRW3PN0014,Panthère,14400.0,14400.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRW3PN0014
2026,CRWSSA0063,Santos,8100.0,8100.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0063
2026,CRW4TA0031,Tank,6500.0,6500.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRW4TA0031
2026,CRWSPN0015,Panthère,5950.0,5950.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWSPN0015
2026,CRWGTA0342,Tank,11400.0,11400.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0342
2026,CRWSTA0121,Tank,3900.0,3900.0,EUR,fr-fr,Montre Tank Must SolarBeat™,https://www.cartier.com/fr-fr/product/CRWSTA0121
2026,CRWSTA0135,Tank,3550.0,3550.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0135
2026,CRW4PN0016,Panthère,9100.0,9100.0,EUR,fr-fr,Montre Panthère De Cartier PM,https://www.cartier.com/fr-fr/product/CRW4PN0016
2026,CRWGTA0303,Tank,20700.0,20700.0,EUR,fr-fr,Montre Tank Louis Cartier,https://www.cartier.com/fr-fr/product/CRWGTA0303
2026,CRWSSA0076,Santos,10500.0,10500.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0076
2026,CRWSSA0062,Santos,8900.0,8900.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0062
2026,CRWSTA0129,Tank,4200.0,4200.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRWSTA0129
2026,CRWSTA0115,Tank,3900.0,3900.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0115
2026,CRWSTA0122,Tank,4150.0,4150.0,EUR,fr-fr,Montre Tank Must SolarBeat™,https://www.cartier.com/fr-fr/product/CRWSTA0122
2026,CRWSTA0137,Tank,3550.0,3550.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0137
2026,CRWSTA0106,Tank,4150.0,4150.0,EUR,fr-fr,Montre Tank Must de Cartier,https://www.cartier.com/fr-fr/product/CRWSTA0106
2026,CRWSTA0116,Tank,3700.0,3700.0,EUR,fr-fr,Montre Tank Américaine,https://www.cartier.com/fr-fr/product/CRWSTA0116
2026,CRWSSA0089,Santos,11300.0,11300.0,EUR,fr-fr,Montre Santos de Cartier,https://www.cartier.com/fr-fr/product/CRWSSA0089
2026,CRWSTA0105,Tank,5400.0,5400.0,EUR,fr-fr,Montre Tank Française,https://www.cartier.com/fr-fr/product/CRWSTA0105
2026,CRWSPN0016,Panthère,6550.0,6550.0,EUR,fr-fr,Montre Panthère de Cartier,https://www.cartier.com/fr-fr/product/CRWSPN0016
2026,CRWSBB0062,Ballon Bleu,6700.0,6700.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRWSBB0062
2026,CRW4BB0021,Ballon Bleu,8350.0,8350.0,EUR,fr-fr,Montre Ballon Bleu de Cartier,https://www.cartier.com/fr-fr/product/CRW4BB0021
