Year,Currency,Rate_Currency_EUR,Source
2020,CHF,0.934123,ECB Euro foreign exchange reference rates
2020,CNY,0.126989,ECB Euro foreign exchange reference rates
2020,EUR,1.0,ECB Euro foreign exchange reference rates
2020,GBP,1.123969,ECB Euro foreign exchange reference rates
2020,HKD,0.112883,ECB Euro foreign exchange reference rates
2020,JPY,0.008207,ECB Euro foreign exchange reference rates
2020,SGD,0.635225,ECB Euro foreign exchange reference rates
2020,TWD,0.029832,ECB Euro foreign exchange reference rates
2020,USD,0.875506,ECB Euro foreign exchange reference rates
2021,CHF,0.924944,ECB Euro foreign exchange reference rates
2021,CNY,0.131092,ECB Euro foreign exchange reference rates
2021,EUR,1.0,ECB Euro foreign exchange reference rates
2021,GBP,1.163327,ECB Euro foreign exchange reference rates
2021,HKD,0.108776,ECB Euro foreign exchange reference rates
2021,JPY,0.0077,ECB Euro foreign exchange reference rates
2021,SGD,0.629287,ECB Euro foreign exchange reference rates
2021,TWD,,ECB Euro foreign exchange reference rates
2021,USD,0.845494,ECB Euro foreign exchange reference rates
2026,CHF,1.094571,ECB Euro foreign exchange reference rates
2026,CNY,0.121588,ECB Euro foreign exchange reference rates
2026,EUR,1.0,ECB Euro foreign exchange reference rates
2026,GBP,1.149557,ECB Euro foreign exchange reference rates
2026,HKD,0.107512,ECB Euro foreign exchange reference rates
2026,JPY,0.005471,ECB Euro foreign exchange reference rates
2026,SGD,0.665469,ECB Euro foreign exchange reference rates
2026,TWD,,ECB Euro foreign exchange reference rates
2026,USD,0.840336,ECB Euro foreign exchange reference rates
