uid,url,price,currency,collection,reference_code,life_span
10240,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/rotonde-de-cartier%E8%85%95%E8%A1%A8/whro0041-rotonde-de-cartier-astrotourbillon%E5%A4%A9%E4%BD%93%E8%BF%90%E8%BD%AC%E5%BC%8F%E9%99%80%E9%A3%9E%E8%BD%AE%E8%85%95%E8%A1%A8.html,880000,CNY,ROTONDE,WHRO0041,Q4 August 2020
10247,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/santos-de-cartier-%E8%85%95%E8%A1%A8/santos-de-cartier%E8%85%95%E8%A1%A8/whsa0018-santos-de-cartier%E8%85%95%E8%A1%A8.html,391000,CNY,SANTOS WATCH,WHSA0018,Q4 August 2020
10251,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/santos-de-cartier-%E8%85%95%E8%A1%A8/santos-de-cartier%E8%85%95%E8%A1%A8/wgsa0012-santos-de-cartier%E8%85%95%E8%A1%A8.html,118000,CNY,SANTOS WATCH,WGSA0012,Q4 August 2020
10262,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/ronde-de-cartier-%E8%85%95%E8%A1%A8/ronde-louis-cartier-%E8%85%95%E8%A1%A8/w6800251-ronde-louis-cartier%E8%85%95%E8%A1%A8.html,83000,CNY,TANK,W6800251,Q4 August 2020
10286,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8/wjpn0006-panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8.html,200000,CNY,PANTHÈRE,WJPN0006,Q4 August 2020
10300,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/tank-de-cartier-%E8%85%95%E8%A1%A8/cartier-tank-americaine-%E8%85%95%E8%A1%A8/w2607456-tank-am%C3%A9ricaine%E8%85%95%E8%A1%A8.html,79500,CNY,TANK,W2607456,Q4 August 2020
10310,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8/hpi01325-panth%C3%A8re-de-cartier%E8%85%95%E8%A1%A8.html,560000,CNY,PANTHÈRE WATCH,HPI01325,Q4 August 2020
10314,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/cartier-hypnose%E8%85%95%E8%A1%A8/hpi01049-hypnose%E8%85%95%E8%A1%A8.html,1230000,CNY,HYPNOSE,HPI01049,Q4 August 2020
10323,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/cartier-baignoire%E8%85%95%E8%A1%A8/wb520025-mini-baignoire%E8%85%95%E8%A1%A8.html,239800,CNY,TANK,WB520025,Q4 August 2020
10329,https://www.cartier.cn/zh-cn/%E7%B3%BB%E5%88%97/%E8%85%95%E8%A1%A8%E7%B3%BB%E5%88%97/%E6%89%80%E6%9C%89%E8%85%95%E8%A1%A8/tank-de-cartier-%E8%85%95%E8%A1%A8/tank-louis-cartier-%E8%85%95%E8%A1%A8/wgta0010-tank-louis-cartier%E8%85%95%E8%A1%A8.html,78500,CNY,TANK,WGTA0010,Q4 August 2020
