reference_code,url,price,currency,life_span,material_label,size_label,collection
WT100015,https://www.cartier.com/en-ae/watches/tank-anglaise-watch-CRWT100015.html,88000.0,AED,Q4 April 2022,Other,Medium,Tank
WT100018,https://www.cartier.com/en-ae/watches/tank-anglaise-watch-CRWT100018.html,128000.0,AED,Q4 April 2022,Other,Medium,Tank
WT100029,https://www.cartier.com/en-ae/watches/tank-anglaise-watch-CRWT100029.html,97000.0,AED,Q4 April 2022,Other,Medium,Tank
B4234352,https://www.cartier.com/en-gb/les-berlingots-de-cartier-ring_cod6630340695934536.html?share=%7B%22size%22%3A%2252%22%7D#dept=EU_Les-Berlingots-de-Cartier,2570.0,GBP,Q4 August 2022,Other,Medium,Other
B4234952,https://www.cartier.com/en-gb/les-berlingots-de-cartier-ring_cod6630340695934582.html?share=%7B%22size%22%3A%2252%22%7D#dept=EU_Les-Berlingots-de-Cartier,4200.0,GBP,Q4 August 2022,Other,Medium,Other
B7224778,https://www.cartier.com/en-us/jewelry/necklaces/juste-un-clou-necklace-CRB7224778.html,1240.0,USD,Q4 August 2022,Other,Medium,Other
HSA40096,https://www.cartier.com/en-us/jewelry/rings/antique-piece-ring-CRHSA40096.html,97500.0,USD,Q4 August 2022,Other,Medium,Other
N4774000,https://www.cartier.com/en-us/jewelry/rings/love-solitaire-CRN4774000.html,1170.0,USD,Q4 August 2022,Other,Medium,Other
WGPA0016,https://www.cartier.com/en-us/watches/collections/pasha-de-cartier/pasha-de-cartier-watch-CRWGPA0016.html,14900.0,USD,Q4 August 2022,Other,Medium,Pasha
B7224906,https://www.cartier.cn/creation/B7224906,25900.0,CNY,Q4 December 2022,Other,Medium,Other
WHSA0023,https://www.cartier.cn/creation/WHSA0023,213800.0,CNY,Q4 December 2022,Other,Medium,Other
WHSA0024,https://www.cartier.cn/creation/WHSA0024,250000.0,CNY,Q4 December 2022,Other,Medium,Other
WJSA0020,https://www.cartier.cn/creation/WJSA0020,211000.0,CNY,Q4 December 2022,Other,Medium,Other
WSSA0040,https://www.cartier.cn/creation/WSSA0040,29900.0,CNY,Q4 December 2022,Other,Medium,Other
WSSA0041,https://www.cartier.cn/creation/WSSA0041,28000.0,CNY,Q4 December 2022,Other,Medium,Other
WSSA0044,https://www.cartier.cn/creation/WSSA0044,45200.0,CNY,Q4 December 2022,Other,Medium,Other
OG000584,https://www.cartier.com/en-ae/art-of-living/personal-accessories/cufflinks/clash-%5Bun%5Dlimited-chain-pocket-gem-CROG000584.html,67500.0,AED,Q4 December 2022,Other,Medium,Other
 B6027000,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6027000.html,6850.0,AED,Q4 December 2022,Other,Medium,Other
 B6027100,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6027100.html,6850.0,AED,Q4 December 2022,Other,Medium,Other
 B6027200,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6027200.html,7350.0,AED,Q4 December 2022,Other,Medium,Other
 B6038100,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6038100.html,8750.0,AED,Q4 December 2022,Other,Medium,Other
 B6038300,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6038300.html,8200.0,AED,Q4 December 2022,Other,Medium,Other
 B6063600,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6063600.html,8200.0,AED,Q4 December 2022,Other,Medium,Other
 B6064717,https://www.cartier.com/en-ae/jewellery/bracelets/love-bracelet-CRB6064717.html,34200.0,AED,Q4 December 2022,Other,Medium,Other
N8515222,https://www.cartier.com/en-ae/jewellery/earrings/agrafe-earrings-CRN8515222.html,134000.0,AED,Q4 December 2022,Other,Medium,Other
N4746200,https://www.cartier.com/en-ae/les-oiseaux-liberes-ring-CRN4746200.html,220000.0,AED,Q4 December 2022,Other,Medium,Other
N4232400,https://www.cartier.com/en-ae/paris-nouvelle-vague-ring-CRN4232400.html,37400.0,AED,Q4 December 2022,Other,Medium,Other
H4386200,https://www.cartier.com/en-ae/reflection-de-cartier-ring-CRH4386200.html,171000.0,AED,Q4 December 2022,Other,Medium,Other
WSSA0055,https://www.cartier.com/en-ae/watches/collections/santos-de-cartier/santos-de-cartier-watch-CRWSSA0055.html,29800.0,AED,Q4 December 2022,Other,Medium,Santos
N4788100,https://www.cartier.com/fr-ch/bague-panthere-de-cartier_cod1647597298556116.html#dept=EU_Jewellery,15700.0,CHF,Q4 December 2022,Other,Medium,Panthere
N4788200,https://www.cartier.com/fr-ch/bague-panthere-de-cartier_cod1647597298556129.html#dept=EU_Jewellery,53000.0,CHF,Q4 December 2022,Other,Medium,Panthere
H8000994,https://www.cartier.com/fr-ch/boucles-d-oreilles-panthere-de-cartier_cod1647597304575876.html#dept=EU_Jewellery,98000.0,CHF,Q4 December 2022,Other,Medium,Panthere
 B6029817,https://www.cartier.com/fr-ch/bracelet-love-1-diamant_cod25372685655709566.html#dept=EU_Bracelets_Love,5600.0,CHF,Q4 December 2022,Other,Medium,Other
