reference_code,title,price,currency,url,collection,objectID
,,"5,350€",EUR,,,CRB6079117
,,"6,750€",EUR,,,CRB6081517
,,"7,900€",EUR,,,CRB6079417
,,"8,150€",EUR,,,CRB6077017
,,"8,150€",EUR,,,CRB6067517
,,"10,700€",EUR,,,CRB6079717
,,"11,100€",EUR,,,CRB6086517
,,"13,100€",EUR,,,CRB6080117
,,"17,100€",EUR,,,CRB7224761
,,,EUR,,,CRB4247500
,,,EUR,,,CRB4084600
,,"5,750€",EUR,,,CRB6079217
,,"7,200€",EUR,,,CRB6081617
,,"8,450€",EUR,,,CRB6079517
,,"8,700€",EUR,,,CRB6077117
,,"8,700€",EUR,,,CRB6067617
,,"11,500€",EUR,,,CRB6079817
,,"14,000€",EUR,,,CRB6080217
,,,EUR,,,CRB4247700
,,,EUR,,,CRB4085100
,,,EUR,,,CRB4084700
,,"5,350€",EUR,,,CRB6079017
,,"6,750€",EUR,,,CRB6081417
,,"7,900€",EUR,,,CRB6079317
,,"8,150€",EUR,,,CRB6079917
,,"8,150€",EUR,,,CRB6067417
,,"10,700€",EUR,,,CRB6079617
,,"13,100€",EUR,,,CRB6080017
,,"17,100€",EUR,,,CRB7224758
,,,EUR,,,CRB4247600
,,,EUR,,,CRB4085200
,,,EUR,,,CRB4084800
,,"8,150€",EUR,,,CRB6081817
,,"8,150€",EUR,,,CRB6081717
,,"8,700€",EUR,,,CRB6081917
,,"13,100€",EUR,,,CRB6082117
,,"13,100€",EUR,,,CRB6082017
,,"14,000€",EUR,,,CRB6082217
,,"18,900€",EUR,,,CRB6082417
,,"18,900€",EUR,,,CRB6082317
,,"20,200€",EUR,,,CRB6082517
,,,EUR,,,CRB4085300
,,,EUR,,,CRB4084900
,,"1,720€",EUR,,,CRB6068115
,,"1,840€",EUR,,,CRB7224816
,,"2,420€",EUR,,,CRB7224815
,,"3,700€",EUR,,,CRB6068017
,,"3,800€",EUR,,,CRB7224955
,,"3,800€",EUR,,,CRB7224812
,,"4,900€",EUR,,,CRB7224813
,,"6,000€",EUR,,,CRB6080815
,,"8,800€",EUR,,,CRB6067917
,,"12,000€",EUR,,,CRB7224988
,,"12,200€",EUR,,,CRB6067817
,,"20,900€",EUR,,,CRB6078017
,,"30,600€",EUR,,,CRB6077917
,,"68,500€",EUR,,,CRN7424595
,,,EUR,,,CRB4240600
,,,EUR,,,CRB4239900
,,,EUR,,,CRB4239800
,,,EUR,,,CRB4236400
,,,EUR,,,CRB4236100
,,,EUR,,,CRB4235100
,,,EUR,,,CRB4234200
,,,EUR,,,CRB4234100
,,,EUR,,,CRB4089100
,,"4,150€",EUR,,,CRB6062617
,,"8,800€",EUR,,,CRB6048217
,,"13,100€",EUR,,,CRB6070017
,,"15,200€",EUR,,,CRB7224799
,,"18,900€",EUR,,,CRB6070317
,,"36,500€",EUR,,,CRN7424165
,,"47,900€",EUR,,,CRN6039717
,,,EUR,,,CRB4244900
,,,EUR,,,CRB4225900
,,,EUR,,,CRB4092600
,,,EUR,,,CRB4032400
,,"4,450€",EUR,,,CRB6083917
,,"9,450€",EUR,,,CRB6048317
,,"14,000€",EUR,,,CRB6070117
,,"20,200€",EUR,,,CRB6070417
,,,EUR,,,CRB4245000
,,,EUR,,,CRB4226000
,,,EUR,,,CRB4207600
,,,EUR,,,CRB4099200
,,,EUR,,,CRB4050600
,,,EUR,,,CRB4050500
,,,EUR,,,CRB4032500
,,"4,150€",EUR,,,CRB6062517
,,"8,800€",EUR,,,CRB6048117
,,"13,100€",EUR,,,CRB6069917
,,"15,200€",EUR,,,CRB7224803
,,"18,900€",EUR,,,CRB6070217
,,"22,400€",EUR,,,CRN7424355
,,"47,900€",EUR,,,CRN6039317
,,,EUR,,,CRB4244800
,,,EUR,,,CRB4225800
,,,EUR,,,CRB4097500
,,,EUR,,,CRB4092500
,,,EUR,,,CRB4087500
,,,EUR,,,CRB4050800
,,,EUR,,,CRB4050700
,,"3,950€",EUR,,,CRB6069815
,,"13,500€",EUR,,,CRB7225003
,,"34,500€",EUR,,,CRN6721317
,,"67,500€",EUR,,,CRN6729117
,,,EUR,,,CRB4242000
,,,EUR,,,CRB4241900
,,,EUR,,,CRB4241700
,,,EUR,,,CRB4240800
,,,EUR,,,CRB4236000
,,,EUR,,,CRB4235900
,,,EUR,,,CRB4235400
,,"5,850€",EUR,,,CRB6066117
,,"7,200€",EUR,,,CRB6091917
,,"8,550€",EUR,,,CRB6063817
,,"8,800€",EUR,,,CRB6081317
,,"9,400€",EUR,,,CRB6065417
,,"9,500€",EUR,,,CRB7224756
,,"9,750€",EUR,,,CRB6078317
,,"10,200€",EUR,,,CRN6730517
,,"11,300€",EUR,,,CRB6077217
,,"11,500€",EUR,,,CRB7224904
,,"13,000€",EUR,,,CRN6730617
,,"14,700€",EUR,,,CRB6048617
,,"15,000€",EUR,,,CRN6730715
,,"15,700€",EUR,,,CRB6065617
,,"17,100€",EUR,,,CRN7424557
,,"18,400€",EUR,,,CRN7424422
,,"22,700€",EUR,,,CRN7424530
,,"26,100€",EUR,,,CRN6721917
,,"27,300€",EUR,,,CRN7424533
,,"28,200€",EUR,,,CRN7424574
,,"32,100€",EUR,,,CRN6700517
,,"39,400€",EUR,,,CRN7408338
,,"52,000€",EUR,,,CRN6719217
,,"52,500€",EUR,,,CRN7424507
,,"116,000€",EUR,,,CRN7424431
,,"117,000€",EUR,,,CRN6729217
,,,EUR,,,CRN4815200
,,,EUR,,,CRN4788100
,,,EUR,,,CRN4780900
,,,EUR,,,CRN4767900
,,,EUR,,,CRN4722500
,,,EUR,,,CRN4193100
,,,EUR,,,CRB4247200
,,,EUR,,,CRB4247100
,,,EUR,,,CRB4247000
,,,EUR,,,CRB4246900
,,,EUR,,,CRB4243500
,,,EUR,,,CRB4243400
