reference_code,local_reference,title,price,currency,url,collection,objectID
CRWSPN0013,WSPN0013,Montre Panthère De Cartier,5000.0,EUR,https://www.cartier.com/fr-fr/product/CRWSPN0013,Panthère de Cartier,CRWSPN0013
CRWSTA0136,WSTA0136,Montre Tank Must de Cartier,3750.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0136,Tank,CRWSTA0136
CRWSSA0029,WSSA0029,Montre Santos de Cartier,8100.0,EUR,https://www.cartier.com/fr-fr/product/CRWSSA0029,Santos de Cartier,CRWSSA0029
CRWGTA0352,WGTA0352,Montre Tank Louis Cartier,8600.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0352,Tank,CRWGTA0352
CRWGTA0357,WGTA0357,Montre Tank Louis Cartier,16100.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0357,Tank,CRWGTA0357
CRW2SA0033,W2SA0033,Montre Santos de Cartier,10800.0,EUR,https://www.cartier.com/fr-fr/product/CRW2SA0033,Santos de Cartier,CRW2SA0033
CRWGBA0041,WGBA0041,Montre Baignoire,8850.0,EUR,https://www.cartier.com/fr-fr/product/CRWGBA0041,Baignoire,CRWGBA0041
CRW2PN0018,W2PN0018,Montre Panthère de Cartier,9550.0,EUR,https://www.cartier.com/fr-fr/product/CRW2PN0018,Panthère de Cartier,CRW2PN0018
CRWSSA0096,WSSA0096,Montre Santos de Cartier,8900.0,EUR,https://www.cartier.com/fr-fr/product/CRWSSA0096,Santos de Cartier,CRWSSA0096
CRWSTA0107,WSTA0107,Montre Tank Must de Cartier,3900.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0107,Tank,CRWSTA0107
CRWGTA0211,WGTA0211,Montre Tank Louis Cartier,14800.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0211,Tank,CRWGTA0211
CRWSPN0012,WSPN0012,Montre Panthère de Cartier,4200.0,EUR,https://www.cartier.com/fr-fr/product/CRWSPN0012,Panthère de Cartier,CRWSPN0012
CRWGTA0346,WGTA0346,Montre Tank Louis Cartier,16100.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0346,Tank,CRWGTA0346
CRWSSA0082,WSSA0082,Montre Santos de Cartier,6550.0,EUR,https://www.cartier.com/fr-fr/product/CRWSSA0082,Santos de Cartier,CRWSSA0082
CRW3PN0014,W3PN0014,Montre Panthère de Cartier,14400.0,EUR,https://www.cartier.com/fr-fr/product/CRW3PN0014,Panthère de Cartier,CRW3PN0014
CRWSSA0063,WSSA0063,Montre Santos de Cartier,8100.0,EUR,https://www.cartier.com/fr-fr/product/CRWSSA0063,Santos de Cartier,CRWSSA0063
CRW4TA0031,W4TA0031,Montre Tank Must de Cartier,6500.0,EUR,https://www.cartier.com/fr-fr/product/CRW4TA0031,Tank,CRW4TA0031
CRWSPN0015,WSPN0015,Montre Panthère de Cartier,5950.0,EUR,https://www.cartier.com/fr-fr/product/CRWSPN0015,Panthère de Cartier,CRWSPN0015
CRWGTA0342,WGTA0342,Montre Tank Louis Cartier,11400.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0342,Tank,CRWGTA0342
CRWSTA0121,WSTA0121,Montre Tank Must SolarBeat™,3900.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0121,Tank,CRWSTA0121
CRWSTA0135,WSTA0135,Montre Tank Must de Cartier,3550.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0135,Tank,CRWSTA0135
CRW4PN0016,W4PN0016,Montre Panthère De Cartier PM,9100.0,EUR,https://www.cartier.com/fr-fr/product/CRW4PN0016,Panthère de Cartier,CRW4PN0016
CRWGTA0303,WGTA0303,Montre Tank Louis Cartier,20700.0,EUR,https://www.cartier.com/fr-fr/product/CRWGTA0303,Tank,CRWGTA0303
CRWSSA0076,WSSA0076,Montre Santos de Cartier,10500.0,EUR,https://www.cartier.com/fr-fr/product/CRWSSA0076,Santos de Cartier,CRWSSA0076
CRWSSA0062,WSSA0062,Montre Santos de Cartier,8900.0,EUR,https://www.cartier.com/fr-fr/product/CRWSSA0062,Santos de Cartier,CRWSSA0062
CRWSTA0129,WSTA0129,Montre Tank Française,4200.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0129,Tank,CRWSTA0129
CRWSTA0115,WSTA0115,Montre Tank Must de Cartier,3900.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0115,Tank,CRWSTA0115
CRWSTA0122,WSTA0122,Montre Tank Must SolarBeat™,4150.0,EUR,https://www.cartier.com/fr-fr/product/CRWSTA0122,Tank,CRWSTA0122
